OR4F5	NM_001005484
UTS2	NM_021995
TNFRSF9	NM_001561
PARK7	NM_007262
ERRFI1	NM_018948
SLC45A1	NM_001080397
RERE	NM_001042681
ENO1	NM_001428
CA6	NM_001215
SLC2A7	NM_207420
SLC2A5	NM_003039
GPR157	NM_024980
H6PD	NM_004285
SPSB1	NM_025106
SLC25A33	NM_032315
TMEM201	NM_001130924
PIK3CD	NM_005026
CLSTN1	NM_001009566
CTNNBIP1	NM_001012329
LZIC	NM_032368
NMNAT1	NM_022787
RBP7	NM_052960
UBE4B	NM_001105562
KIF1B	NM_015074
PGD	NM_002631
APITD1-CORT	NM_199006
DFFA	NM_004401
PEX14	NM_004565
CASZ1	NM_001079843
C1orf127	NM_001170754
TARDBP	NM_007375
MASP2	NM_006610
SRM	NM_003132
EXOSC10	NM_001001998
MTOR	NM_004958
ANGPTL7	NM_021146
UBIAD1	NM_013319
PTCHD2	NM_020780
FBXO2	NM_012168
FBXO44	NM_033182
FBXO6	NM_018438
MAD2L2	NM_001127325
AGTRAP	NM_020350
MTHFR	NM_005957
CLCN6	NM_001286
NPPA	NM_006172
NPPB	NM_002521
KIAA2013	NM_138346
PLOD1	NM_000302
MFN2	NM_001127660
MIIP	NM_021933
TNFRSF8	NM_001243
TNFRSF1B	NM_001066
VPS13D	NM_015378
DHRS3	NM_004753
AADACL4	NM_001013630
AADACL3	NM_001103170
C1orf158	NM_152290
PRAMEF12	NM_001080830
PRAMEF1	NM_023013
PRAMEF11	NM_001146344
LOC649330	NM_001146181
PRAMEF2	NM_023014
PRAMEF4	NM_001009611
PRAMEF10	NM_001039361
PRAMEF8	NM_001012276
PRAMEF6	NM_001010889
PRAMEF22	NM_001100631
LOC440563	NM_001136561
PRAMEF9	NM_001010890
PRAMEF14	NM_001099854
PRAMEF13	NM_001024661
PRAMEF18	NM_001099850
PRAMEF16	NM_001045480
PRAMEF20	NM_001099852
PRAMEF17	NM_001099851
LRRC38	NM_001010847
PDPN	NM_006474
PRDM2	NM_012231
KAZN	NM_201628
TMEM51	NM_018022
FHAD1	NM_052929
EFHD2	NM_024329
CTRC	NM_007272
CELA2A	NM_033440
CELA2B	NM_015849
CASP9	NM_001229
DNAJC16	NM_015291
AGMAT	NM_024758
DDI2	NM_032341
RSC1A1	NM_006511
PLEKHM2	NM_015164
SLC25A34	NM_207348
TMEM82	NM_001013641
FBLIM1	NM_017556
UQCRHL	NM_001089591
SPEN	NM_015001
ZBTB17	NM_003443
C1orf64	NM_178840
HSPB7	NM_014424
CLCNKA	NM_004070
FAM131C	NM_182623
EPHA2	NM_004431
ARHGEF19	NM_153213
RSG1	NM_030907
FBXO42	NM_018994
SPATA21	NM_198546
NECAP2	NM_001145277
NBPF1	NM_017940
CROCC	NM_014675
MFAP2	NM_002403
ATP13A2	NM_022089
SDHB	NM_003000
PADI2	NM_007365
PADI1	NM_013358
PADI3	NM_016233
PADI4	NM_012387
PADI6	NM_207421
RCC2	NM_001136204
ARHGEF10L	NM_018125
ACTL8	NM_030812
IGSF21	NM_032880
KLHDC7A	NM_152375
PAX7	NM_002584
TAS1R2	NM_152232
ALDH4A1	NM_003748
IFFO2	NM_001136265
UBR4	NM_020765
MRTO4	NM_016183
AKR7A3	NM_012067
AKR7A2	NM_003689
PQLC2	NM_017765
CAPZB	NM_001206540
MINOS1	NM_001204083
NBL1	NM_182744
HTR6	NM_000871
TMCO4	NM_181719
RNF186	NM_019062
OTUD3	NM_015207
PLA2G2E	NM_014589
PLA2G2A	NM_001161728
PLA2G5	NM_000929
PLA2G2D	NM_012400
PLA2G2F	NM_022819
PLA2G2C	NM_001105572
UBXN10	NM_152376
VWA5B1	NM_001039500
CAMK2N1	NM_018584
MUL1	NM_024544
FAM43B	NM_207334
CDA	NM_001785
PINK1	NM_032409
DDOST	NM_005216
KIF17	NM_020816
SH2D5	NM_001103161
HP1BP3	NM_016287
EIF4G3	NM_001198802
ECE1	NM_001113349
NBPF3	NM_032264
ALPL	NM_000478
RAP1GAP	NM_001145658
USP48	NM_032236
LDLRAD2	NM_001013693
HSPG2	NM_005529
CELA3B	NM_007352
CDC42	NM_001791
WNT4	NM_030761
ZBTB40	NM_014870
EPHA8	NM_020526
C1QA	NM_015991
C1QC	NM_001114101
C1QB	NM_000491
EPHB2	NM_004442
LOC729059	NM_001242521
KDM1A	NM_001009999
LUZP1	NM_001142546
HTR1D	NM_000864
HNRNPR	NM_001102398
ZNF436	NM_030634
TCEA3	NM_003196
ASAP3	NM_017707
E2F2	NM_004091
ID3	NM_002167
RPL11	NM_000975
TCEB3	NM_003198
PITHD1	NM_020362
LYPLA2	NM_007260
GALE	NM_001127621
HMGCL	NM_000191
FUCA1	NM_000147
CNR2	NM_001841
PNRC2	NM_017761
SRSF10	NM_054016
MYOM3	NM_152372
IL22RA1	NM_021258
IL28RA	NM_170743
GRHL3	NM_198174
NIPAL3	NM_020448
RCAN3	NM_013441
SRRM1	NM_005839
CLIC4	NM_013943
RUNX3	NM_004350
SYF2	NM_015484
C1orf63	NM_020317
RHD	NM_016124
TMEM50A	NM_014313
RHCE	NM_020485
TMEM57	NM_018202
LDLRAP1	NM_015627
MAN1C1	NM_020379
SEPN1	NM_206926
FAM54B	NM_001099625
PAQR7	NM_178422
STMN1	NM_001145454
PAFAH2	NM_000437
EXTL1	NM_004455
SLC30A2	NM_001004434
TRIM63	NM_032588
PDIK1L	NM_152835
FAM110D	NM_024869
ZNF593	NM_015871
CNKSR1	NM_006314
CATSPER4	NM_198137
CEP85	NM_022778
SH3BGRL3	NM_031286
UBXN11	NM_183008
CD52	NM_001803
AIM1L	NM_001039775
ZNF683	NM_173574
LIN28A	NM_024674
DHDDS	NM_024887
HMGN2	NM_005517
RPS6KA1	NM_001006665
ARID1A	NM_006015
PIGV	NM_017837
ZDHHC18	NM_032283
SFN	NM_006142
GPN2	NM_018066
GPATCH3	NM_022078
NR0B2	NM_021969
NUDC	NM_006600
C1orf172	NM_152365
TRNP1	NM_001013642
FAM46B	NM_052943
SLC9A1	NM_003047
WDTC1	NM_015023
TMEM222	NM_032125
SYTL1	NM_001193308
MAP3K6	NM_004672
FCN3	NM_003665
CD164L2	NM_207397
GPR3	NM_005281
WASF2	NM_006990
AHDC1	NM_001029882
FGR	NM_005248
IFI6	NM_022873
FAM76A	NM_001143912
STX12	NM_177424
PPP1R8	NM_014110
RPA2	NM_002946
SMPDL3B	NM_014474
XKR8	NM_018053
EYA3	NM_001990
PTAFR	NM_000952
DNAJC8	NM_014280
ATPIF1	NM_016311
SESN2	NM_031459
MED18	NM_001127350
PHACTR4	NM_001048183
RCC1	NM_001048194
TRNAU1AP	NM_017846
RAB42	NM_001193532
TAF12	NM_005644
GMEB1	NM_024482
YTHDF2	NM_001173128
OPRD1	NM_000911
EPB41	NM_001166005
TMEM200B	NM_001003682
SRSF4	NM_005626
MECR	NM_016011
PTPRU	NM_005704
MATN1	NM_002379
LAPTM5	NM_006762
SDC3	NM_014654
PUM1	NM_001020658
NKAIN1	NM_024522
SNRNP40	NM_004814
ZCCHC17	NM_016505
FABP3	NM_004102
SERINC2	NM_178865
TINAGL1	NM_022164
HCRTR1	NM_001525
PEF1	NM_012392
COL16A1	NM_001856
BAI2	NM_001703
SPOCD1	NM_144569
PTP4A2	NM_080391
KHDRBS1	NM_006559
TMEM39B	NM_018056
KPNA6	NM_012316
TXLNA	NM_175852
CCDC28B	NM_024296
IQCC	NM_001160042
DCDC2B	NM_001099434
TMEM234	NM_019118
EIF3I	NM_003757
FAM167B	NM_032648
LCK	NM_001042771
HDAC1	NM_004964
MARCKSL1	NM_023009
LOC100128071	NM_001167676
TSSK3	NM_052841
BSDC1	NM_018045
ZBTB8B	NM_001145720
ZBTB8A	NM_001040441
ZBTB8OS	NM_178547
RBBP4	NM_005610
SYNC	NM_030786
KIAA1522	NM_020888
YARS	NM_003680
S100PBP	NM_022753
FNDC5	NM_001171941
HPCA	NM_002143
TMEM54	NM_033504
RNF19B	NM_153341
AK2	NM_001625
ADC	NM_052998
TRIM62	NM_018207
ZNF362	NM_152493
PHC2	NM_198040
ZSCAN20	NM_145238
CSMD2	NM_052896
HMGB4	NM_145205
C1orf94	NM_001134734
GJB5	NM_005268
GJB4	NM_153212
GJB3	NM_001005752
GJA4	NM_002060
C1orf212	NM_138428
DLGAP3	NM_001080418
ZMYM6NB	NM_001195156
ZMYM6	NM_007167
ZMYM1	NM_024772
SFPQ	NM_005066
ZMYM4	NM_005095
KIAA0319L	NM_024874
NCDN	NM_001014839
TFAP2E	NM_178548
PSMB2	NM_002794
C1orf216	NM_152374
CLSPN	NM_022111
EIF2C4	NM_017629
EIF2C1	NM_012199
EIF2C3	NM_024852
TEKT2	NM_014466
ADPRHL2	NM_017825
COL8A2	NM_005202
TRAPPC3	NM_014408
MAP7D1	NM_018067
THRAP3	NM_005119
SH3D21	NM_001162530
STK40	NM_032017
LSM10	NM_032881
OSCP1	NM_145047
MRPS15	NM_031280
CSF3R	NM_000760
GRIK3	NM_000831
ZC3H12A	NM_025079
MEAF6	NM_022756
SNIP1	NM_024700
DNALI1	NM_003462
GNL2	NM_013285
RSPO1	NM_001242908
C1orf109	NM_017850
CDCA8	NM_018101
EPHA10	NM_001099439
MANEAL	NM_001113482
YRDC	NM_024640
C1orf122	NM_198446
MTF1	NM_005955
INPP5B	NM_005540
SF3A3	NM_006802
FHL3	NM_004468
UTP11L	NM_016037
POU3F1	NM_002699
RRAGC	NM_022157
MYCBP	NM_012333
GJA9	NM_030772
RHBDL2	NM_017821
AKIRIN1	NM_024595
NDUFS5	NM_001184979
MACF1	NM_012090
KIAA0754	NM_015038
BMP8A	NM_181809
PABPC4	NM_001135653
HEYL	NM_014571
NT5C1A	NM_032526
HPCAL4	NM_016257
PPIE	NM_001195007
BMP8B	NM_001720
OXCT2	NM_022120
TRIT1	NM_017646
MYCL1	NM_001033082
MFSD2A	NM_032793
CAP1	NM_001105530
PPT1	NM_000310
RLF	NM_012421
TMCO2	NM_001008740
ZMPSTE24	NM_005857
COL9A2	NM_001852
SMAP2	NM_022733
ZNF643	NM_023070
ZNF642	NM_198494
ZNF684	NM_152373
RIMS3	NM_014747
NFYC	NM_001142588
KCNQ4	NM_004700
CITED4	NM_133467
SLFNL1	NM_144990
SCMH1	NM_001172219
EDN2	NM_001956
HIVEP3	NM_001127714
GUCA2B	NM_007102
GUCA2A	NM_033553
FOXJ3	NM_014947
RIMKLA	NM_173642
ZMYND12	NM_032257
PPCS	NM_024664
CCDC30	NM_001080850
PPIH	NM_006347
YBX1	NM_004559
CLDN19	NM_148960
LEPRE1	NM_001243246
C1orf50	NM_024097
LOC100129924	NM_001242750
CCDC23	NM_199342
ERMAP	NM_018538
ZNF691	NM_015911
SLC2A1	NM_006516
FAM183A	NM_001101376
EBNA1BP2	NM_001159936
WDR65	NM_001195831
TMEM125	NM_144626
C1orf210	NM_182517
TIE1	NM_005424
MPL	NM_005373
CDC20	NM_001255
ELOVL1	NM_022821
MED8	NM_052877
SZT2	NM_015284
HYI	NM_001190880
PTPRF	NM_002840
KDM4A	NM_014663
ST3GAL3	NM_174963
ARTN	NM_001136215
IPO13	NM_014652
DPH2	NM_001384
ATP6V0B	NM_004047
B4GALT2	NM_030587
CCDC24	NM_152499
SLC6A9	NM_201649
KLF17	NM_173484
DMAP1	NM_001034024
ERI3	NM_024066
RNF220	NM_018150
TMEM53	NM_024587
C1orf228	NM_001145636
KIF2C	NM_006845
RPS8	NM_001012
BEST4	NM_153274
PLK3	NM_004073
TCTEX1D4	NM_001013632
BTBD19	NM_001136537
PTCH2	NM_003738
EIF2B3	NM_020365
HECTD3	NM_024602
UROD	NM_000374
ZSWIM5	NM_020883
HPDL	NM_032756
MUTYH	NM_001048172
TOE1	NM_025077
TESK2	NM_007170
MMACHC	NM_015506
PRDX1	NM_001202431
AKR1A1	NM_153326
NASP	NM_002482
CCDC17	NM_001114938
GPBP1L1	NM_021639
TMEM69	NM_016486
IPP	NM_005897
MAST2	NM_015112
PIK3R3	NM_003629
TSPAN1	NM_005727
POMGNT1	NM_001243766
RAD54L	NM_001142548
LRRC41	NM_006369
UQCRH	NM_006004
NSUN4	NM_199044
FAAH	NM_001441
DMBX1	NM_147192
KNCN	NM_001097611
MKNK1	NM_003684
MOB3C	NM_145279
ATPAF1	NM_022745
KIAA0494	NM_014774
CYP4B1	NM_001099772
CYP4A11	NM_000778
CYP4X1	NM_178033
CYP4Z1	NM_178134
CYP4A22	NM_001010969
PDZK1IP1	NM_005764
TAL1	NM_003189
STIL	NM_001048166
CMPK1	NM_016308
FOXE3	NM_012186
FOXD2	NM_004474
SLC5A9	NM_001011547
SPATA6	NM_019073
AGBL4	NM_032785
BEND5	NM_024603
ELAVL4	NM_021952
DMRTA2	NM_032110
FAF1	NM_007051
CDKN2C	NM_078626
C1orf185	NM_001136508
RNF11	NM_014372
TTC39A	NM_001144832
EPS15	NM_001981
OSBPL9	NM_148909
NRD1	NM_002525
RAB3B	NM_002867
TXNDC12	NM_015913
KTI12	NM_138417
BTF3L4	NM_152265
ZFYVE9	NM_004799
CC2D1B	NM_032449
ORC1	NM_001190818
PRPF38A	NM_032864
ZCCHC11	NM_001009881
GPX7	NM_015696
FAM159A	NM_001042693
SELRC1	NM_023077
ZYG11B	NM_024646
ZYG11A	NM_001004339
ECHDC2	NM_001198961
SCP2	NM_002979
PODN	NM_001199081
SLC1A7	NM_006671
CPT2	NM_000098
C1orf123	NM_017887
MAGOH	NM_002370
LRP8	NM_004631
DMRTB1	NM_033067
GLIS1	NM_147193
TMEM48	NM_018087
YIPF1	NM_018982
DIO1	NM_001039715
HSPB11	NM_016126
LRRC42	NM_052940
LDLRAD1	NM_001010978
TMEM59	NM_004872
TCEANC2	NM_153035
CDCP2	NM_201546
CYB5RL	NM_001031672
MRPL37	NM_016491
SSBP3	NM_145716
ACOT11	NM_147161
FAM151A	NM_176782
HEATR8	NM_001039464
TTC4	NM_004623
PARS2	NM_152268
TTC22	NM_001114108
C1orf177	NM_001110533
DHCR24	NM_014762
TMEM61	NM_182532
BSND	NM_057176
PCSK9	NM_174936
USP24	NM_015306
PPAP2B	NM_003713
PRKAA2	NM_006252
C1orf168	NM_001004303
C8A	NM_000562
C8B	NM_000066
DAB1	NM_021080
OMA1	NM_145243
TACSTD2	NM_002353
MYSM1	NM_001085487
JUN	NM_002228
FGGY	NM_001113411
HOOK1	NM_015888
CYP2J2	NM_000775
C1orf87	NM_152377
NFIA	NM_001145512
TM2D1	NM_032027
INADL	NM_176877
L1TD1	NM_019079
KANK4	NM_181712
USP1	NM_001017416
DOCK7	NM_033407
ANGPTL3	NM_014495
ATG4C	NM_032852
FOXD3	NM_012183
ALG6	NM_013339
ITGB3BP	NM_001206739
EFCAB7	NM_032437
PGM1	NM_001172818
ROR1	NM_005012
UBE2U	NM_152489
CACHD1	NM_020925
RAVER2	NM_018211
JAK1	NM_002227
AK4	NM_203464
DNAJC6	NM_014787
LEPROT	NM_017526
LEPR	NM_002303
PDE4B	NM_002600
SGIP1	NM_032291
TCTEX1D1	NM_152665
INSL5	NM_005478
WDR78	NM_024763
MIER1	NM_001077700
SLC35D1	NM_015139
C1orf141	NM_001013674
IL23R	NM_144701
IL12RB2	NM_001559
SERBP1	NM_001018067
GADD45A	NM_001924
GNG12	NM_018841
DIRAS3	NM_004675
WLS	NM_024911
RPE65	NM_000329
DEPDC1	NM_001114120
LRRC7	NM_020794
LRRC40	NM_017768
SRSF11	NM_004768
ANKRD13C	NM_030816
HHLA3	NM_001031693
CTH	NM_001902
PTGER3	NM_198718
ZRANB2	NM_203350
NEGR1	NM_173808
LRRIQ3	NM_001105659
FPGT-TNNI3K	NM_001112808
C1orf173	NM_001002912
CRYZ	NM_001889
TYW3	NM_138467
LHX8	NM_001001933
SLC44A5	NM_152697
ACADM	NM_001127328
RABGGTB	NM_004582
MSH4	NM_002440
ASB17	NM_080868
ST6GALNAC3	NM_152996
ST6GALNAC5	NM_030965
PIGK	NM_005482
AK5	NM_174858
ZZZ3	NM_015534
USP33	NM_015017
FAM73A	NM_198549
NEXN	NM_144573
FUBP1	NM_003902
DNAJB4	NM_007034
GIPC2	NM_017655
PTGFR	NM_000959
IFI44L	NM_006820
IFI44	NM_006417
ELTD1	NM_022159
LPHN2	NM_012302
TTLL7	NM_024686
PRKACB	NM_182948
SAMD13	NM_001010971
DNASE2B	NM_021233
RPF1	NM_025065
GNG5	NM_005274
CTBS	NM_004388
SSX2IP	NM_001166293
LPAR3	NM_012152
MCOLN2	NM_153259
MCOLN3	NM_018298
WDR63	NM_145172
SYDE2	NM_032184
C1orf52	NM_198077
BCL10	NM_003921
DDAH1	NM_012137
CYR61	NM_001554
ZNHIT6	NM_017953
COL24A1	NM_152890
ODF2L	NM_001007022
CLCA2	NM_006536
CLCA1	NM_001285
CLCA4	NM_012128
SH3GLB1	NM_001206651
SEP15	NM_203341
HS2ST1	NM_012262
LMO4	NM_006769
PKN2	NM_006256
GTF2B	NM_001514
CCBL2	NM_001008661
RBMXL1	NM_019610
GBP3	NM_018284
GBP1	NM_002053
GBP2	NM_004120
GBP7	NM_207398
GBP4	NM_052941
GBP5	NM_001134486
GBP6	NM_198460
LRRC8B	NM_001134476
LRRC8C	NM_032270
LRRC8D	NM_018103
ZNF326	NM_182976
BARHL2	NM_020063
ZNF644	NM_201269
HFM1	NM_001017975
CDC7	NM_001134419
TGFBR3	NM_003243
BRDT	NM_001726
EPHX4	NM_173567
BTBD8	NM_183242
KIAA1107	NM_015237
C1orf146	NM_001012425
GLMN	NM_053274
RPAP2	NM_024813
GFI1	NM_001127216
EVI5	NM_005665
RPL5	NM_000969
FAM69A	NM_001006605
MTF2	NM_007358
TMED5	NM_016040
CCDC18	NM_206886
DR1	NM_001938
FNBP1L	NM_001164473
BCAR3	NM_003567
DNTTIP2	NM_014597
GCLM	NM_002061
ABCA4	NM_000350
ARHGAP29	NM_004815
ABCD3	NM_002858
F3	NM_001993
SLC44A3	NM_001114106
CNN3	NM_001839
ALG14	NM_144988
TMEM56	NM_152487
RWDD3	NM_015485
PTBP2	NM_021190
DPYD	NM_000110
SNX7	NM_015976
LPPR5	NM_001037317
LPPR4	NM_014839
PALMD	NM_017734
FRRS1	NM_001013660
AGL	NM_000642
SLC35A3	NM_012243
HIAT1	NM_033055
SASS6	NM_194292
LRRC39	NM_144620
DBT	NM_001918
CDC14A	NM_033312
GPR88	NM_022049
VCAM1	NM_001078
EXTL2	NM_001439
SLC30A7	NM_133496
DPH5	NM_001077394
S1PR1	NM_001400
OLFM3	NM_058170
COL11A1	NM_080629
RNPC3	NM_017619
AMY2B	NM_020978
AMY2A	NM_000699
AMY1C	NM_001008219
AMY1B	NM_001008218
PRMT6	NM_018137
NTNG1	NM_014917
VAV3	NM_006113
SLC25A24	NM_013386
NBPF4	NM_001143989
NBPF6	NM_001143987
FAM102B	NM_001010883
HENMT1	NM_001102592
PRPF38B	NM_018061
FNDC7	NM_001144937
STXBP3	NM_007269
AKNAD1	NM_152763
GPSM2	NM_013296
CLCC1	NM_001048210
WDR47	NM_001142550
TAF13	NM_005645
TMEM167B	NM_020141
C1orf194	NM_001122961
KIAA1324	NM_020775
SARS	NM_006513
CELSR2	NM_001408
PSRC1	NM_032636
MYBPHL	NM_001010985
SORT1	NM_002959
PSMA5	NM_002790
SYPL2	NM_001040709
ATXN7L2	NM_153340
CYB561D1	NM_001134400
AMIGO1	NM_020703
GPR61	NM_031936
GNAI3	NM_006496
GNAT2	NM_005272
AMPD2	NM_004037
GSTM4	NM_000850
GSTM1	NM_000561
GSTM5	NM_000851
GSTM3	NM_000849
EPS8L3	NM_139053
CSF1	NM_000757
AHCYL1	NM_006621
ALX3	NM_006492
UBL4B	NM_203412
SLC6A17	NM_001010898
KCNC4	NM_004978
RBM15	NM_022768
SLC16A4	NM_004696
PROK1	NM_032414
KCNA10	NM_005549
KCNA2	NM_004974
KCNA3	NM_002232
CD53	NM_001040033
LRIF1	NM_018372
DRAM2	NM_178454
CEPT1	NM_001007794
DENND2D	NM_024901
CHI3L2	NM_004000
CHIA	NM_201653
OVGP1	NM_002557
WDR77	NM_024102
ATP5F1	NM_001688
C1orf162	NM_174896
ADORA3	NM_000677
RAP1A	NM_002884
FAM212B	NM_019099
DDX20	NM_007204
KCND3	NM_004980
CTTNBP2NL	NM_018704
WNT2B	NM_024494
ST7L	NM_017744
CAPZA1	NM_006135
MOV10	NM_001130079
RHOC	NM_001042679
PPM1J	NM_005167
FAM19A3	NM_001004440
SLC16A1	NM_003051
LRIG2	NM_014813
MAGI3	NM_001142782
PHTF1	NM_006608
RSBN1	NM_018364
PTPN22	NM_015967
BCL2L15	NM_001010922
AP4B1	NM_001253852
DCLRE1B	NM_022836
HIPK1	NM_198268
OLFML3	NM_020190
TRIM33	NM_015906
BCAS2	NM_005872
DENND2C	NM_198459
AMPD1	NM_000036
NRAS	NM_002524
CSDE1	NM_001242891
SIKE1	NM_001102396
SYCP1	NM_003176
TSHB	NM_000549
TSPAN2	NM_005725
NGF	NM_002506
VANGL1	NM_138959
CASQ2	NM_001232
NHLH2	NM_005599
SLC22A15	NM_018420
MAB21L3	NM_152367
ATP1A1	NM_000701
CD58	NM_001779
IGSF3	NM_001542
CD2	NM_001767
PTGFRN	NM_020440
CD101	NM_004258
TTF2	NM_003594
TRIM45	NM_025188
VTCN1	NM_024626
MAN1A2	NM_006699
FAM46C	NM_017709
GDAP2	NM_017686
WDR3	NM_006784
SPAG17	NM_206996
TBX15	NM_152380
WARS2	NM_015836
HAO2	NM_016527
HSD3B2	NM_000198
HSD3B1	NM_000862
ZNF697	NM_001080470
PHGDH	NM_006623
HMGCS2	NM_005518
REG4	NM_032044
NBPF7	NM_001047980
ADAM30	NM_021794
NOTCH2	NM_024408
FAM72B	NM_001100910
FCGR1B	NM_001017986
PPIAL4G	NM_001123068
FAM72D	NM_207418
PPIAL4B	NM_001143883
PPIAL4A	NM_178230
PDE4DIP	NM_001198834
SEC22B	NM_004892
NOTCH2NL	NM_203458
NBPF10	NM_001039703
HFE2	NM_213653
TXNIP	NM_006472
POLR3GL	NM_032305
ANKRD34A	NM_001039888
LIX1L	NM_153713
RBM8A	NM_005105
PEX11B	NM_003846
ITGA10	NM_003637
ANKRD35	NM_144698
PIAS3	NM_006099
NUDT17	NM_001012758
POLR3C	NM_006468
RNF115	NM_014455
CD160	NM_007053
PDZK1	NM_001201326
GPR89A	NM_001097612
GPR89C	NM_001097616
NBPF11	NM_183372
PRKAB2	NM_005399
FMO5	NM_001461
CHD1L	NM_004284
BCL9	NM_004326
ACP6	NM_016361
GJA5	NM_181703
GJA8	NM_005267
GPR89B	NM_016334
NBPF14	NM_015383
PPIAL4F	NM_001164262
NBPF15	NM_173638
NBPF16	NM_001102663
PPIAL4E	NM_001144032
HIST2H2BF	NM_001161334
FCGR1A	NM_000566
HIST2H3D	NM_001123375
HIST2H4A	NM_003548
HIST2H3C	NM_021059
HIST2H2AA3	NM_003516
HIST2H2BE	NM_003528
HIST2H2AC	NM_003517
HIST2H2AB	NM_175065
BOLA1	NM_016074
SV2A	NM_014849
SF3B4	NM_005850
MTMR11	NM_001145862
OTUD7B	NM_020205
VPS45	NM_007259
PLEKHO1	NM_016274
ANP32E	NM_030920
CA14	NM_012113
APH1A	NM_001077628
C1orf54	NM_024579
C1orf51	NM_144697
MRPS21	NM_031901
PRPF3	NM_004698
RPRD2	NM_015203
TARS2	NM_025150
ECM1	NM_004425
ADAMTSL4	NM_019032
MCL1	NM_021960
ENSA	NM_004436
GOLPH3L	NM_018178
HORMAD1	NM_032132
CTSS	NM_004079
CTSK	NM_000396
ARNT	NM_001668
SETDB1	NM_001145415
CERS2	NM_022075
ANXA9	NM_003568
FAM63A	NM_001163258
PRUNE	NM_021222
BNIPL	NM_138278
C1orf56	NM_017860
CDC42SE1	NM_020239
MLLT11	NM_006818
GABPB2	NM_144618
SEMA6C	NM_001178061
TNFAIP8L2	NM_024575
LYSMD1	NM_212551
SCNM1	NM_024041
TMOD4	NM_013353
VPS72	NM_005997
PIP5K1A	NM_001135638
PSMD4	NM_002810
ZNF687	NM_020832
PI4KB	NM_001198774
RFX5	NM_000449
SELENBP1	NM_003944
PSMB4	NM_002796
POGZ	NM_015100
CGN	NM_020770
TUFT1	NM_020127
SNX27	NM_030918
CELF3	NM_007185
RIIAD1	NM_001144956
MRPL9	NM_031420
OAZ3	NM_016178
TDRKH	NM_001083963
LINGO4	NM_001004432
RORC	NM_005060
C2CD4D	NM_001136003
THEM5	NM_182578
THEM4	NM_053055
S100A10	NM_002966
S100A11	NM_005620
TCHHL1	NM_001008536
TCHH	NM_007113
RPTN	NM_001122965
HRNR	NM_001009931
FLG	NM_002016
FLG2	NM_001014342
CRNN	NM_016190
LCE5A	NM_178438
CRCT1	NM_019060
LCE3E	NM_178435
LCE3D	NM_032563
LCE3C	NM_178434
LCE3B	NM_178433
LCE3A	NM_178431
LCE2D	NM_178430
LCE2C	NM_178429
LCE2B	NM_014357
LCE2A	NM_178428
LCE4A	NM_178356
C1orf68	NM_001024679
KPRP	NM_001025231
LCE1F	NM_178354
LCE1E	NM_178353
LCE1D	NM_178352
LCE1C	NM_178351
LCE1B	NM_178349
LCE1A	NM_178348
LCE6A	NM_001128600
SMCP	NM_030663
IVL	NM_005547
SPRR4	NM_173080
SPRR1A	NM_005987
SPRR3	NM_001097589
